job_id,department,role,level,opening_date,recruiter
1,Customer Success,CSM,L3,2023-05-22,RGDC
2,Support,Support Rep,L5,2023-04-13,RKAF
3,Support,Support Rep,L5,2023-04-08,RFQO
4,Product,Product Designer,L5,2023-04-08,RHWT
5,Engineering,ML Engineer,L3,2023-08-16,RHFT
6,Customer Success,CSM,L4,2023-06-10,RCWP
7,Sales,Sales Manager,L4,2023-03-27,RNZJ
8,Support,Support Team Lead,L5,2023-05-25,RXJE
9,Customer Success,CSM,L2,2023-05-05,RUZW
10,Customer Success,Implementation Specialist,L3,2023-02-02,RLVE
11,Finance,FP&A Analyst,L3,2023-03-03,RSRB
12,Engineering,SRE,L2,2023-05-10,REJZ
13,Support,Support Rep,L3,2023-08-06,RVUF
14,Sales,SDR,L4,2023-04-08,RGFY
15,Finance,FP&A Analyst,L4,2023-03-23,RKXL
16,HR,HRBP,L2,2023-04-27,RTOT
17,Marketing,Brand Manager,L4,2023-03-20,RJZD
18,Operations,Ops Analyst,L1,2023-04-05,RWDE
19,Marketing,Brand Manager,L1,2023-04-20,RKPM
20,HR,People Ops Analyst,L1,2023-03-01,RRCX
21,HR,People Ops Analyst,L3,2023-06-14,RCLL
22,HR,People Ops Analyst,L2,2023-02-23,RNCQ
23,Support,Support Rep,L2,2023-02-19,RJEY
24,Support,Support Rep,L5,2023-05-02,RIAY
25,HR,HRBP,L1,2023-06-08,RGOC
26,Operations,Ops Analyst,L5,2023-05-01,RTDM
27,Support,Support Rep,L3,2023-04-14,RNPZ
28,Support,Support Rep,L3,2023-04-04,RKRJ
29,Support,Support Team Lead,L1,2023-03-27,RGBA
30,Support,Support Rep,L5,2023-07-02,RFBQ
31,Product,Product Manager,L1,2023-05-10,RWBG
32,Operations,Ops Analyst,L5,2023-03-31,RDYO
33,Operations,Ops Analyst,L4,2023-03-17,RUEC
34,Marketing,Growth Marketer,L4,2023-05-30,RKWB
35,Customer Success,CSM,L4,2023-06-30,RSUC
36,Product,Product Manager,L5,2023-06-22,RLKH
37,Product,Product Manager,L4,2023-03-10,RVWC
38,Support,Support Rep,L1,2023-04-04,RYWE
39,Operations,Program Manager,L2,2023-03-26,RWXE
40,Sales,SDR,L3,2023-04-10,RYUH
